,Date,Time,Vrms ph-n AN Avg,Vrms ph-n BN Avg,Vrms ph-n CN Avg,Vrms ph-n NG Avg,Current A Avg,Current B Avg,Current C Avg,Current Phi AN Avg,Current Phi BN Avg,Current Phi CN Avg,Active Power Total Avg,Apparent Power Total Avg,Reactive Power Total Avg,Cos Phi AN Avg,Cos Phi BN Avg,Cos Phi CN Avg,Cos Phi Total Avg
1222,2019-09-01,1:32:43 AM.135,247.74,247.46,246.86,0.72,802.7,744.2,686.8,-3.2,-131.5,-245.28,538650,553650,60600,1.0,0.98,1.0,0.99
1223,2019-09-01,1:33:13 AM.135,247.6,247.32,246.92,0.74,825.8,764.6,710.5,-3.54,-131.2,-245.48,554400,570000,63450,1.0,0.98,1.0,0.99
1224,2019-09-01,1:33:43 AM.135,247.72,247.44,246.88,0.72,809.8,750.0,686.6,-3.78,-131.86,-245.9,541650,556950,66000,1.0,0.98,1.0,0.99
1225,2019-09-01,1:34:13 AM.135,247.7,247.46,247.32,0.7,806.1,743.8,685.1,-4.12,-131.7,-245.88,539250,554400,66900,1.0,0.98,1.0,0.99
1226,2019-09-01,1:34:43 AM.135,247.66,247.46,247.24,0.72,808.3,738.6,681.5,-4.04,-131.78,-245.76,537600,552750,66150,1.0,0.98,1.0,0.99
1227,2019-09-01,1:35:13 AM.135,247.76,247.6,247.62,0.72,801.6,731.1,680.8,-3.52,-130.84,-244.94,534600,549450,58950,1.0,0.98,1.0,0.99
1228,2019-09-01,1:35:43 AM.135,247.74,247.52,247.0,0.74,831.2,762.4,699.8,-3.14,-131.22,-244.94,552900,568800,60150,1.0,0.98,1.0,0.99
1229,2019-09-01,1:36:13 AM.135,247.64,247.42,247.0,0.76,846.0,775.8,716.4,-3.34,-130.92,-245.08,563550,579750,61650,1.0,0.98,1.0,0.99
1230,2019-09-01,1:36:43 AM.135,247.48,247.26,246.88,0.76,851.9,785.5,727.9,-3.5,-130.74,-245.22,569850,585900,62850,1.0,0.98,1.0,0.99
1231,2019-09-01,1:37:13 AM.135,247.72,247.52,246.78,0.74,826.9,756.9,695.4,-3.06,-131.22,-244.94,549300,565050,59250,1.0,0.98,1.0,0.99
1232,2019-09-01,1:37:43 AM.135,247.86,247.72,247.0,0.72,796.8,729.5,668.9,-2.96,-131.0,-244.92,530100,544800,56250,1.0,0.98,1.0,0.99
1233,2019-09-01,1:38:13 AM.135,247.8,247.64,247.26,0.72,794.5,727.0,670.9,-3.04,-130.68,-244.78,529500,544050,55500,1.0,0.98,1.0,0.99
